quad,row,col,trap_energy,gmean_coeff,log_coeff_slope_per_K,n_points
0,357,32,0.26225414,0.60836963,-0.0096556988,10
0,357,989,0.29332146,0.5714781,0.00010335679,19
0,358,1675,0.28190678,1.0148278,-0.0024686942,7
0,358,32,0.24768641,1.1758227,0.0094103166,5
0,359,2585,0.30576364,0.88605284,-0.0060854158,17
0,359,957,0.23308851,0.88904668,-0.01144212,5
0,35,1294,0.33856647,0.93809515,-0.03637157,4
0,35,1839,0.17584603,0.75105311,0.034292946,5
0,35,37,0.32666552,0.86558722,-0.017758611,6
0,361,1084,0.27447385,0.84228101,0.032287323,7
0,361,2546,0.1055291,0.8623515,0.028805494,6
0,362,1084,0.3020783,0.5721923,0.0076065992,4
0,362,2148,0.21745274,0.58738615,0.018720971,7
0,366,1649,0.27488259,0.72166296,0.0080836265,6
0,366,1842,0.2216834,1.2203614,0.022471334,4
0,367,1649,0.25358581,0.52554282,0.05365841,4
0,368,2208,5.9164568e-30,0.74890155,0.0073059775,5
0,369,1700,0.26880005,1.0956679,-0.019740859,6
0,36,452,0.34915294,1.0950156,0.011631947,4
0,370,3046,0.21925722,0.79076209,0.025994452,6
0,370,800,0.29460425,0.44808093,-0.010805061,11
0,371,247,0.26655561,0.53833177,0.040623851,5
0,372,1274,0.19419606,0.690407,0.013196426,4
0,372,131,0.19204262,0.77865756,0.039542207,5
0,373,1043,0.210624,1.0321729,0.012797863,6
0,375,1175,0.29650954,1.0179299,-0.0020048024,11
0,376,1118,0.27778385,0.99453443,-0.0091769808,7
0,378,1611,0.2076807,0.54922703,0.046068767,4
0,380,1271,0.27356713,1.0264548,-0.0030880471,7
0,380,2514,0.31072988,0.86097595,-0.005062887,18
0,380,3005,0.28931363,0.95671734,-0.0024396919,5
0,381,1604,0.23600589,1.038268,0.013361495,7
0,381,777,0.25757924,0.93184654,-0.0038824509,5
0,384,1496,0.26554033,1.0562734,0.003036411,7
0,384,328,0.34600985,0.48718937,-0.013875313,15
0,387,1273,0.042117016,0.53377783,-0.0045060548,7
0,389,2001,0.27869453,0.95679179,-0.00059322859,6
0,389,367,0.21527716,0.61607277,0.00053232906,7
0,38,2725,0.29827723,1.051958,0.014432778,7
0,390,1230,0.27129388,0.92575512,-0.021848101,4
0,390,2473,0.16357124,1.1226497,0.026725653,5
0,390,2647,0.29510612,0.47353799,0.024790179,5
0,390,2666,0.079498117,0.58583557,-0.0080326601,7
0,391,1343,0.36496811,0.99533305,0.01319523,4
0,391,2094,0.30159545,0.53069744,-0.014972277,6
0,392,1888,0.29623189,0.40693531,-0.0088075274,18
0,393,1063,0.27559235,1.068726,0.015035449,5
0,393,818,0.26881223,0.5421313,0.020771788,5
0,394,1063,0.31441327,0.5935602,0.033319313,4
0,394,2775,0.30900687,0.71144093,-0.0073819626,20
0,396,1326,0.30222462,0.89647306,0.0056536361,5
0,397,769,0.25637482,0.58381743,-0.015497785,6
0,398,1728,0.2692015,0.59332552,-0.010553605,8
0,398,2135,0.28771292,1.0636998,-0.0016391858,5
0,398,2323,0.30411199,1.0986762,-0.0064716388,6
0,399,2135,0.28487546,0.54797583,0.013905365,5
